split_id,model,n_test,n_invalid_test,accuracy,f1_valid,f1_invalid,precision_invalid,recall_invalid,recall_invalid_ci_low_wilson,recall_invalid_ci_high_wilson,roc_auc,brier,log_loss,ece_10bin
1,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
1,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.008897763124085536,0.06335220588836092,0.05807595028850899
2,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.3790925052297336,0.09375
2,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.010038763577049959,0.07029547231832983,0.0643701442072871
3,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
3,ml_validity_classifier,1600,150,0.999375,0.9996552912788693,0.9966555183946488,1.0,0.9933333333333333,0.9632062470660241,0.9988222289768665,1.0,0.009730692579272874,0.06787267747288929,0.06206741251733834
4,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
4,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.010297487695804462,0.06761502525416604,0.06144463499228365
5,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
5,ml_validity_classifier,1600,150,0.998125,0.9989644459785986,0.9900990099009901,0.9803921568627451,1.0,0.9750288608542812,1.0,1.0,0.010295685499962704,0.07024440708310174,0.06355375466272556
6,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.3790925052297327,0.09375
6,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.010222006901406717,0.07006086749375667,0.06399010723221991
7,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.3790925052297336,0.09375
7,ml_validity_classifier,1600,150,0.995,0.9972337482710927,0.974025974025974,0.9493670886075949,1.0,0.9750288608542812,1.0,0.9999862068965517,0.009910036899459884,0.06463951201401798,0.057848702642220876
