timestamp_utc,mem_used,mem_limit,mem_percent
2026-05-17T12:59:45.865744+00:00,52.11MiB,7.606GiB,0.67
2026-05-17T12:59:49.884720+00:00,51.81MiB,7.606GiB,0.67
2026-05-17T12:59:53.900755+00:00,51.82MiB,7.606GiB,0.67
2026-05-17T13:00:11.255873+00:00,52.01MiB,7.606GiB,0.67
2026-05-17T13:00:15.243619+00:00,52.01MiB,7.606GiB,0.67
2026-05-17T13:00:19.269335+00:00,52.01MiB,7.606GiB,0.67
2026-05-17T13:00:23.284885+00:00,52.03MiB,7.606GiB,0.67
2026-05-17T13:00:41.386519+00:00,52.02MiB,7.606GiB,0.67
2026-05-17T13:00:45.405719+00:00,51.96MiB,7.606GiB,0.67
2026-05-17T13:00:49.410308+00:00,51.85MiB,7.606GiB,0.67
2026-05-17T13:00:53.433252+00:00,51.86MiB,7.606GiB,0.67
2026-05-17T13:01:10.719490+00:00,52.04MiB,7.606GiB,0.67
2026-05-17T13:01:14.749342+00:00,52.04MiB,7.606GiB,0.67
2026-05-17T13:01:18.763946+00:00,52.05MiB,7.606GiB,0.67
2026-05-17T13:01:22.788517+00:00,52.06MiB,7.606GiB,0.67
2026-05-17T13:12:41.874378+00:00,52.06MiB,7.606GiB,0.67
2026-05-17T13:12:45.899191+00:00,52.06MiB,7.606GiB,0.67
2026-05-17T13:12:49.914861+00:00,52.06MiB,7.606GiB,0.67
2026-05-17T13:12:53.935106+00:00,52.07MiB,7.606GiB,0.67
2026-05-17T13:13:11.219668+00:00,52.08MiB,7.606GiB,0.67
2026-05-17T13:13:15.256416+00:00,52.08MiB,7.606GiB,0.67
2026-05-17T13:13:19.264798+00:00,52.07MiB,7.606GiB,0.67
2026-05-17T13:13:23.268318+00:00,52.09MiB,7.606GiB,0.67
2026-05-17T13:13:40.518405+00:00,52.09MiB,7.606GiB,0.67
2026-05-17T13:13:44.540442+00:00,51.9MiB,7.606GiB,0.67
2026-05-17T13:13:48.550460+00:00,51.91MiB,7.606GiB,0.67
2026-05-17T13:13:52.572573+00:00,51.93MiB,7.606GiB,0.67
2026-05-17T13:14:09.837864+00:00,52.12MiB,7.606GiB,0.67
