timestamp_utc,cpu_percent
2026-05-17T11:58:38.232518+00:00,0.00
2026-05-17T11:58:42.372159+00:00,0.04
2026-05-17T11:58:59.717923+00:00,0.03
2026-05-17T11:59:03.561072+00:00,0.03
2026-05-17T11:59:07.577316+00:00,0.03
2026-05-17T11:59:11.683363+00:00,0.05
2026-05-17T11:59:29.072325+00:00,0.20
2026-05-17T11:59:32.937622+00:00,0.20
2026-05-17T11:59:36.969691+00:00,0.16
2026-05-17T11:59:41.085759+00:00,0.49
2026-05-17T11:59:58.409257+00:00,0.03
2026-05-17T12:00:02.271804+00:00,0.03
2026-05-17T12:00:06.263438+00:00,0.03
2026-05-17T12:00:10.384426+00:00,0.05
2026-05-17T12:00:27.710773+00:00,0.03
2026-05-17T12:00:31.562252+00:00,0.02
2026-05-17T12:00:35.555136+00:00,0.00
2026-05-17T12:00:39.691360+00:00,0.05
2026-05-17T12:00:57.104186+00:00,0.03
2026-05-17T12:01:00.967884+00:00,0.04
2026-05-17T12:01:05.033335+00:00,0.03
2026-05-17T12:01:09.118715+00:00,0.06
2026-05-17T12:01:27.219428+00:00,0.03
2026-05-17T12:01:31.077923+00:00,0.03
2026-05-17T12:01:35.100097+00:00,0.03
2026-05-17T12:01:39.211221+00:00,0.04
2026-05-17T12:01:56.545328+00:00,0.03
2026-05-17T12:02:00.438871+00:00,0.03
2026-05-17T12:02:04.437591+00:00,0.03
2026-05-17T12:02:08.549843+00:00,0.04
2026-05-17T12:02:25.914976+00:00,0.03
2026-05-17T12:02:29.772577+00:00,0.03
2026-05-17T12:02:33.781957+00:00,0.03
2026-05-17T12:02:37.877707+00:00,0.04
2026-05-17T12:02:55.241338+00:00,0.03
2026-05-17T12:02:59.105891+00:00,0.03
2026-05-17T12:03:03.111600+00:00,0.03
2026-05-17T12:03:07.219904+00:00,0.04
2026-05-17T12:03:24.543872+00:00,0.03
2026-05-17T12:03:28.416051+00:00,0.02
2026-05-17T12:03:32.405826+00:00,0.00
2026-05-17T12:03:36.511751+00:00,0.04
2026-05-17T12:03:53.858005+00:00,0.02
2026-05-17T12:03:57.717507+00:00,0.03
2026-05-17T12:04:01.721569+00:00,0.03
2026-05-17T12:04:05.838374+00:00,0.05
2026-05-17T12:04:23.213222+00:00,0.26
2026-05-17T12:04:27.088969+00:00,0.21
2026-05-17T12:04:31.100769+00:00,0.20
2026-05-17T12:04:35.197251+00:00,0.45
2026-05-17T12:04:52.542363+00:00,0.03
2026-05-17T12:04:56.412063+00:00,0.03
2026-05-17T12:05:00.401220+00:00,0.03
2026-05-17T12:05:04.523622+00:00,0.04
2026-05-17T12:05:21.826259+00:00,0.03
2026-05-17T12:05:25.687803+00:00,0.03
2026-05-17T12:05:29.684354+00:00,0.03
2026-05-17T12:05:33.832214+00:00,0.03
2026-05-17T12:05:51.134325+00:00,0.04
2026-05-17T12:05:55.012594+00:00,0.03
2026-05-17T12:05:58.991567+00:00,0.02
2026-05-17T12:06:03.126466+00:00,0.05
2026-05-17T12:06:21.285746+00:00,0.02
2026-05-17T12:06:25.129032+00:00,1.53
2026-05-17T12:06:29.144101+00:00,0.03
2026-05-17T12:06:33.250476+00:00,0.05
2026-05-17T12:06:50.628709+00:00,0.03
2026-05-17T12:06:54.488902+00:00,0.03
2026-05-17T12:06:58.500574+00:00,0.03
2026-05-17T12:07:02.621405+00:00,0.03
2026-05-17T12:07:20.009880+00:00,0.02
2026-05-17T12:07:23.869351+00:00,0.02
2026-05-17T12:07:27.885696+00:00,0.04
2026-05-17T12:07:32.003935+00:00,0.05
2026-05-17T12:07:49.401715+00:00,0.04
2026-05-17T12:07:53.282454+00:00,0.04
2026-05-17T12:07:57.265532+00:00,0.00
2026-05-17T12:08:01.362642+00:00,0.01
2026-05-17T12:08:18.690142+00:00,0.05
2026-05-17T12:08:22.555367+00:00,0.02
2026-05-17T12:08:26.556985+00:00,0.03
2026-05-17T12:08:30.669410+00:00,0.06
2026-05-17T12:08:48.028697+00:00,0.02
2026-05-17T12:08:51.881881+00:00,0.03
2026-05-17T12:08:55.891648+00:00,0.02
2026-05-17T12:09:00.080916+00:00,0.04
2026-05-17T12:09:17.440591+00:00,0.20
2026-05-17T12:09:21.303475+00:00,0.21
2026-05-17T12:09:25.326244+00:00,3.36
2026-05-17T12:09:29.421570+00:00,0.22
2026-05-17T12:09:46.800473+00:00,0.03
2026-05-17T12:09:50.652236+00:00,0.03
2026-05-17T12:09:54.660700+00:00,0.03
2026-05-17T12:09:58.796859+00:00,0.07
2026-05-17T12:59:40.104684+00:00,0.03
2026-05-17T12:59:43.991946+00:00,0.03
2026-05-17T12:59:48.023420+00:00,0.03
2026-05-17T12:59:52.124785+00:00,0.01
2026-05-17T13:00:09.514212+00:00,0.04
2026-05-17T13:00:13.367578+00:00,0.03
2026-05-17T13:00:17.364104+00:00,0.00
2026-05-17T13:00:21.478224+00:00,0.04
2026-05-17T13:00:39.662683+00:00,0.02
2026-05-17T13:00:43.544959+00:00,0.04
2026-05-17T13:00:47.516890+00:00,0.03
2026-05-17T13:00:51.651909+00:00,0.04
2026-05-17T13:01:09.007440+00:00,0.02
2026-05-17T13:01:12.858701+00:00,0.03
2026-05-17T13:01:16.864229+00:00,0.00
2026-05-17T13:01:20.985208+00:00,0.04
2026-05-17T13:12:40.153155+00:00,0.04
2026-05-17T13:12:44.015641+00:00,1.15
2026-05-17T13:12:48.068314+00:00,0.03
2026-05-17T13:12:52.151061+00:00,0.05
2026-05-17T13:13:09.494264+00:00,0.03
2026-05-17T13:13:13.363427+00:00,0.02
2026-05-17T13:13:17.389860+00:00,0.00
2026-05-17T13:13:21.494559+00:00,0.05
2026-05-17T13:13:38.794781+00:00,0.04
2026-05-17T13:13:42.643713+00:00,0.03
2026-05-17T13:13:46.654955+00:00,0.03
2026-05-17T13:13:50.782231+00:00,0.04
2026-05-17T13:14:08.120141+00:00,0.05
2026-05-17T13:14:11.981079+00:00,0.03
2026-05-17T13:14:15.984485+00:00,0.00
2026-05-17T13:14:20.073407+00:00,0.04
2026-05-17T13:14:37.472446+00:00,0.15
2026-05-17T13:14:41.360853+00:00,0.26
2026-05-17T13:14:45.367856+00:00,0.25
2026-05-17T13:14:49.466676+00:00,0.22
2026-05-17T13:15:06.838364+00:00,0.03
2026-05-17T13:15:10.680584+00:00,0.03
2026-05-17T13:15:14.697742+00:00,0.00
2026-05-17T13:15:18.815807+00:00,0.05
2026-05-17T13:15:36.131525+00:00,0.03
2026-05-17T13:15:40.007805+00:00,0.03
2026-05-17T13:15:43.979787+00:00,3.30
2026-05-17T13:15:48.106149+00:00,0.03
2026-05-17T13:16:05.430067+00:00,0.03
2026-05-17T13:16:09.295511+00:00,0.02
2026-05-17T13:16:13.316833+00:00,0.00
2026-05-17T13:16:17.433830+00:00,0.04
